id,name.local,name.en,name.slug,code.id,children_count.subdivision,geo.lat,geo.lon
CM001001,Djérem,Djérem,djrem-cm001001,CM001001,2,6.529,12.74
CM001002,Faro-et-Déo,Faro-et-Déo,faro-et-do-cm001002,CM001002,4,7.533,12.598
CM001003,Mayo-Banyo,Mayo-Banyo,mayo-banyo-cm001003,CM001003,3,6.614,11.783
CM001004,Mbéré,Mbéré,mbr-cm001004,CM001004,4,6.612,14.382
CM001005,Vina,Vina,vina-cm001005,CM001005,8,7.246,13.646
