id,name.local,name.en,name.slug,code.id,children_count.subdivision,geo.lat,geo.lon
CM002001,Haute-Sanaga,Haute-Sanaga,haute-sanaga-cm002001,CM002001,7,4.655,12.581
CM002002,Lekié,Lekié,leki-cm002002,CM002002,9,4.149,11.364
CM002003,Mbam-et-Inoubou,Mbam-et-Inoubou,mbam-et-inoubou-cm002003,CM002003,9,4.724,10.942
CM002004,Mbam-et-Kim,Mbam-et-Kim,mbam-et-kim-cm002004,CM002004,5,5.305,11.959
CM002005,Mefou-et-Afamba,Mefou-et-Afamba,mefou-et-afamba-cm002005,CM002005,8,3.934,11.791
CM002006,Mefou-et-Akono,Mefou-et-Akono,mefou-et-akono-cm002006,CM002006,4,3.612,11.367
CM002007,Mfoundi,Mfoundi,mfoundi-cm002007,CM002007,7,3.842,11.508
CM002008,Nyong-et-Kellé,Nyong-et-Kellé,nyong-et-kell-cm002008,CM002008,10,3.773,10.925
CM002009,Nyong-et-Mfoumou,Nyong-et-Mfoumou,nyong-et-mfoumou-cm002009,CM002009,5,3.839,12.265
CM002010,Nyong-et-So'o,Nyong-et-So'o,nyong-et-soo-cm002010,CM002010,6,3.467,11.672
