id,name.local,name.en,name.slug,code.id,children_count.subdivision,geo.lat,geo.lon
CM007001,Boyo,Boyo,boyo-cm007001,CM007001,4,6.408,10.423
CM007002,Bui,Bui,bui-cm007002,CM007002,6,6.228,10.715
CM007003,Donga-Mantung,Donga-Mantung,donga-mantung-cm007003,CM007003,5,6.685,10.772
CM007004,Menchum,Menchum,menchum-cm007004,CM007004,4,6.623,10.043
CM007005,Mezam,Mezam,mezam-cm007005,CM007005,7,6.005,10.214
CM007006,Momo,Momo,momo-cm007006,CM007006,5,6,9.833
CM007007,Ngo-Ketunjia,Ngo-Ketunjia,ngo-ketunjia-cm007007,CM007007,3,5.966,10.518
