# Data from Open Admin Data (https://openadmindata.org/cm/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/cameroon-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.division,children_count.subdivision,zip_codes,geo.lat,geo.lon,source_url
CM001,1,Région,Region,Adamaoua,Adamawa,adamawa-cm001,CM001,,,,,,5,21,,7.082,13.218,https://openadmindata.org/cm/regions/adamawa-cm001/
CM001001,2,Département,Division,Djérem,Djérem,djrem-cm001001,CM001001,,CM001,Adamaoua,Adamawa,,,2,,6.529,12.74,
CM001002,2,Département,Division,Faro-et-Déo,Faro-et-Déo,faro-et-do-cm001002,CM001002,,CM001,Adamaoua,Adamawa,,,4,,7.533,12.598,
CM001003,2,Département,Division,Mayo-Banyo,Mayo-Banyo,mayo-banyo-cm001003,CM001003,,CM001,Adamaoua,Adamawa,,,3,,6.614,11.783,
CM001004,2,Département,Division,Mbéré,Mbéré,mbr-cm001004,CM001004,,CM001,Adamaoua,Adamawa,,,4,,6.612,14.382,
CM001005,2,Département,Division,Vina,Vina,vina-cm001005,CM001005,,CM001,Adamaoua,Adamawa,,,8,,7.246,13.646,
CM002,1,Région,Region,Centre,Centre,centre-cm002,CM002,,,,,,10,70,,4.684,11.852,https://openadmindata.org/cm/regions/centre-cm002/
CM002001,2,Département,Division,Haute-Sanaga,Haute-Sanaga,haute-sanaga-cm002001,CM002001,,CM002,Centre,Centre,,,7,,4.655,12.581,
CM002002,2,Département,Division,Lekié,Lekié,leki-cm002002,CM002002,,CM002,Centre,Centre,,,9,,4.149,11.364,
CM002003,2,Département,Division,Mbam-et-Inoubou,Mbam-et-Inoubou,mbam-et-inoubou-cm002003,CM002003,,CM002,Centre,Centre,,,9,,4.724,10.942,
CM002004,2,Département,Division,Mbam-et-Kim,Mbam-et-Kim,mbam-et-kim-cm002004,CM002004,,CM002,Centre,Centre,,,5,,5.305,11.959,
CM002005,2,Département,Division,Mefou-et-Afamba,Mefou-et-Afamba,mefou-et-afamba-cm002005,CM002005,,CM002,Centre,Centre,,,8,,3.934,11.791,
CM002006,2,Département,Division,Mefou-et-Akono,Mefou-et-Akono,mefou-et-akono-cm002006,CM002006,,CM002,Centre,Centre,,,4,,3.612,11.367,
CM002007,2,Département,Division,Mfoundi,Mfoundi,mfoundi-cm002007,CM002007,,CM002,Centre,Centre,,,7,,3.842,11.508,
CM002008,2,Département,Division,Nyong-et-Kellé,Nyong-et-Kellé,nyong-et-kell-cm002008,CM002008,,CM002,Centre,Centre,,,10,,3.773,10.925,
CM002009,2,Département,Division,Nyong-et-Mfoumou,Nyong-et-Mfoumou,nyong-et-mfoumou-cm002009,CM002009,,CM002,Centre,Centre,,,5,,3.839,12.265,
CM002010,2,Département,Division,Nyong-et-So'o,Nyong-et-So'o,nyong-et-soo-cm002010,CM002010,,CM002,Centre,Centre,,,6,,3.467,11.672,
CM003,1,Région,Region,Est,East,east-cm003,CM003,,,,,,4,33,,3.892,13.86,https://openadmindata.org/cm/regions/east-cm003/
CM003001,2,Département,Division,Boumba-et-Ngoko,Boumba-et-Ngoko,boumba-et-ngoko-cm003001,CM003001,,CM003,Est,East,,,4,,2.837,15.2,
CM003002,2,Département,Division,Haut-Nyong,Haut-Nyong,haut-nyong-cm003002,CM003002,,CM003,Est,East,,,14,,3.366,13.538,
CM003003,2,Département,Division,Kadey,Kadey,kadey-cm003003,CM003003,,CM003,Est,East,,,7,,4.478,14.416,
CM003004,2,Département,Division,Lom-et-Djérem,Lom-et-Djérem,lom-et-djrem-cm003004,CM003004,,CM003,Est,East,,,8,,5.234,13.67,
CM004,1,Région,Region,Extrême-Nord,Far-North,far-north-cm004,CM004,,,,,,6,47,,11.509,14.867,https://openadmindata.org/cm/regions/far-north-cm004/
CM004001,2,Département,Division,Diamaré,Diamaré,diamar-cm004001,CM004001,,CM004,Extrême-Nord,Far-North,,,9,,10.663,14.416,
CM004002,2,Département,Division,Logone-et-Chari,Logone-et-Chari,logone-et-chari-cm004002,CM004002,,CM004,Extrême-Nord,Far-North,,,10,,12.041,14.84,
CM004003,2,Département,Division,Mayo-Danay,Mayo-Danay,mayo-danay-cm004003,CM004003,,CM004,Extrême-Nord,Far-North,,,11,,10.511,15.041,
CM004004,2,Département,Division,Mayo-Kani,Mayo-Kani,mayo-kani-cm004004,CM004004,,CM004,Extrême-Nord,Far-North,,,7,,10.291,14.459,
CM004005,2,Département,Division,Mayo-Sava,Mayo-Sava,mayo-sava-cm004005,CM004005,,CM004,Extrême-Nord,Far-North,,,3,,11.105,14.215,
CM004006,2,Département,Division,Mayo-Tsanaga,Mayo-Tsanaga,mayo-tsanaga-cm004006,CM004006,,CM004,Extrême-Nord,Far-North,,,7,,10.607,13.803,
CM005,1,Région,Region,Littoral,Littoral,littoral-cm005,CM005,,,,,,4,34,,4.295,10.227,https://openadmindata.org/cm/regions/littoral-cm005/
CM005001,2,Département,Division,Moungo,Moungo,moungo-cm005001,CM005001,,CM005,Littoral,Littoral,,,13,,4.7,9.774,
CM005002,2,Département,Division,Nkam,Nkam,nkam-cm005002,CM005002,,CM005,Littoral,Littoral,,,4,,4.587,10.085,
CM005003,2,Département,Division,Sanaga-Maritime,Sanaga-Maritime,sanaga-maritime-cm005003,CM005003,,CM005,Littoral,Littoral,,,11,,3.935,10.182,
CM005004,2,Département,Division,Wouri,Wouri,wouri-cm005004,CM005004,,CM005,Littoral,Littoral,,,6,,4.054,9.664,
CM006,1,Région,Region,Nord,North,north-cm006,CM006,,,,,,4,21,,8.637,13.873,https://openadmindata.org/cm/regions/north-cm006/
CM006001,2,Département,Division,Bénoué,Bénoué,bnou-cm006001,CM006001,,CM006,Nord,North,,,12,,9.178,13.438,
CM006002,2,Département,Division,Faro,Faro,faro-cm006002,CM006002,,CM006,Nord,North,,,2,,8.422,12.851,
CM006003,2,Département,Division,Mayo-Louti,Mayo-Louti,mayo-louti-cm006003,CM006003,,CM006,Nord,North,,,3,,9.913,13.881,
CM006004,2,Département,Division,Mayo-Rey,Mayo-Rey,mayo-rey-cm006004,CM006004,,CM006,Nord,North,,,4,,8.195,14.341,
CM007,1,Région,Region,Nord-Ouest,North-West,north-west-cm007,CM007,,,,,,7,34,,6.433,10.47,https://openadmindata.org/cm/regions/north-west-cm007/
CM007001,2,Département,Division,Boyo,Boyo,boyo-cm007001,CM007001,,CM007,Nord-Ouest,North-West,,,4,,6.408,10.423,
CM007002,2,Département,Division,Bui,Bui,bui-cm007002,CM007002,,CM007,Nord-Ouest,North-West,,,6,,6.228,10.715,
CM007003,2,Département,Division,Donga-Mantung,Donga-Mantung,donga-mantung-cm007003,CM007003,,CM007,Nord-Ouest,North-West,,,5,,6.685,10.772,
CM007004,2,Département,Division,Menchum,Menchum,menchum-cm007004,CM007004,,CM007,Nord-Ouest,North-West,,,4,,6.623,10.043,
CM007005,2,Département,Division,Mezam,Mezam,mezam-cm007005,CM007005,,CM007,Nord-Ouest,North-West,,,7,,6.005,10.214,
CM007006,2,Département,Division,Momo,Momo,momo-cm007006,CM007006,,CM007,Nord-Ouest,North-West,,,5,,6,9.833,
CM007007,2,Département,Division,Ngo-Ketunjia,Ngo-Ketunjia,ngo-ketunjia-cm007007,CM007007,,CM007,Nord-Ouest,North-West,,,3,,5.966,10.518,
