# Data from Open Admin Data (https://openadmindata.org/cm/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/cameroon-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.division,children_count.subdivision,zip_codes,geo.lat,geo.lon,source_url
CM008,1,Région,Region,Ouest,West,west-cm008,CM008,,,,,,8,40,,5.535,10.583,https://openadmindata.org/cm/regions/west-cm008/
CM008001,2,Département,Division,Bamboutos,Bamboutos,bamboutos-cm008001,CM008001,,CM008,Ouest,West,,,4,,5.668,10.293,
CM008002,2,Département,Division,Haut-Nkam,Haut-Nkam,haut-nkam-cm008002,CM008002,,CM008,Ouest,West,,,7,,5.147,10.176,
CM008003,2,Département,Division,Hauts-Plateaux,Hauts-Plateaux,hauts-plateaux-cm008003,CM008003,,CM008,Ouest,West,,,4,,5.302,10.342,
CM008004,2,Département,Division,Koung-Khi,Koung-Khi,koung-khi-cm008004,CM008004,,CM008,Ouest,West,,,3,,5.331,10.492,
CM008005,2,Département,Division,Menoua,Menoua,menoua-cm008005,CM008005,,CM008,Ouest,West,,,6,,5.407,10.114,
CM008006,2,Département,Division,Mifi,Mifi,mifi-cm008006,CM008006,,CM008,Ouest,West,,,3,,5.512,10.454,
CM008007,2,Département,Division,Ndé,Ndé,nd-cm008007,CM008007,,CM008,Ouest,West,,,4,,5.04,10.598,
CM008008,2,Département,Division,Noun,Noun,noun-cm008008,CM008008,,CM008,Ouest,West,,,9,,5.594,10.857,
CM009,1,Région,Region,Sud,South,south-cm009,CM009,,,,,,4,29,,2.92,11.347,https://openadmindata.org/cm/regions/south-cm009/
CM009001,2,Département,Division,Dja-et-Lobo,Dja-et-Lobo,dja-et-lobo-cm009001,CM009001,,CM009,Sud,South,,,8,,2.925,12.242,
CM009002,2,Département,Division,Mvila,Mvila,mvila-cm009002,CM009002,,CM009,Sud,South,,,8,,2.732,11.437,
CM009003,2,Département,Division,Océan,Océan,ocan-cm009003,CM009003,,CM009,Sud,South,,,9,,2.875,10.284,
CM009004,2,Département,Division,Vallée-du-Ntem,Vallée-du-Ntem,valle-du-ntem-cm009004,CM009004,,CM009,Sud,South,,,4,,2.482,10.97,
CM010,1,Région,Region,Sud-Ouest,South-West,south-west-cm010,CM010,,,,,,6,31,,5.22,9.286,https://openadmindata.org/cm/regions/south-west-cm010/
CM010001,2,Département,Division,Fako,Fako,fako-cm010001,CM010001,,CM010,Sud-Ouest,South-West,,,7,,4.184,9.261,
CM010002,2,Département,Division,Kupe-Manenguba,Kupe-Manenguba,kupe-manenguba-cm010002,CM010002,,CM010,Sud-Ouest,South-West,,,3,,5.048,9.64,
CM010003,2,Département,Division,Lebialem,Lebialem,lebialem-cm010003,CM010003,,CM010,Sud-Ouest,South-West,,,3,,5.559,9.913,
CM010004,2,Département,Division,Manyu,Manyu,manyu-cm010004,CM010004,,CM010,Sud-Ouest,South-West,,,4,,5.908,9.262,
CM010005,2,Département,Division,Meme,Meme,meme-cm010005,CM010005,,CM010,Sud-Ouest,South-West,,,5,,4.662,9.394,
CM010006,2,Département,Division,Ndian,Ndian,ndian-cm010006,CM010006,,CM010,Sud-Ouest,South-West,,,9,,4.845,8.948,
