id,name.local,name.en,name.slug,code.id,children_count.subdivision,geo.lat,geo.lon
CM006001,Bénoué,Bénoué,bnou-cm006001,CM006001,12,9.178,13.438
CM006002,Faro,Faro,faro-cm006002,CM006002,2,8.422,12.851
CM006003,Mayo-Louti,Mayo-Louti,mayo-louti-cm006003,CM006003,3,9.913,13.881
CM006004,Mayo-Rey,Mayo-Rey,mayo-rey-cm006004,CM006004,4,8.195,14.341
