id,name.local,name.en,name.slug,code.id,children_count.subdivision,geo.lat,geo.lon
CM008001,Bamboutos,Bamboutos,bamboutos-cm008001,CM008001,4,5.668,10.293
CM008002,Haut-Nkam,Haut-Nkam,haut-nkam-cm008002,CM008002,7,5.147,10.176
CM008003,Hauts-Plateaux,Hauts-Plateaux,hauts-plateaux-cm008003,CM008003,4,5.302,10.342
CM008004,Koung-Khi,Koung-Khi,koung-khi-cm008004,CM008004,3,5.331,10.492
CM008005,Menoua,Menoua,menoua-cm008005,CM008005,6,5.407,10.114
CM008006,Mifi,Mifi,mifi-cm008006,CM008006,3,5.512,10.454
CM008007,Ndé,Ndé,nd-cm008007,CM008007,4,5.04,10.598
CM008008,Noun,Noun,noun-cm008008,CM008008,9,5.594,10.857
