id,name.local,name.en,name.slug,code.id,children_count.subdivision,geo.lat,geo.lon
CM004001,Diamaré,Diamaré,diamar-cm004001,CM004001,9,10.663,14.416
CM004002,Logone-et-Chari,Logone-et-Chari,logone-et-chari-cm004002,CM004002,10,12.041,14.84
CM004003,Mayo-Danay,Mayo-Danay,mayo-danay-cm004003,CM004003,11,10.511,15.041
CM004004,Mayo-Kani,Mayo-Kani,mayo-kani-cm004004,CM004004,7,10.291,14.459
CM004005,Mayo-Sava,Mayo-Sava,mayo-sava-cm004005,CM004005,3,11.105,14.215
CM004006,Mayo-Tsanaga,Mayo-Tsanaga,mayo-tsanaga-cm004006,CM004006,7,10.607,13.803
