id,name.local,name.en,name.slug,code.id,children_count.subdivision,geo.lat,geo.lon
CM010001,Fako,Fako,fako-cm010001,CM010001,7,4.184,9.261
CM010002,Kupe-Manenguba,Kupe-Manenguba,kupe-manenguba-cm010002,CM010002,3,5.048,9.64
CM010003,Lebialem,Lebialem,lebialem-cm010003,CM010003,3,5.559,9.913
CM010004,Manyu,Manyu,manyu-cm010004,CM010004,4,5.908,9.262
CM010005,Meme,Meme,meme-cm010005,CM010005,5,4.662,9.394
CM010006,Ndian,Ndian,ndian-cm010006,CM010006,9,4.845,8.948
