id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
CM010006001,Bamusso,Bamusso,bamusso-cm010006001,CM010006001,4.461,8.997
CM010006002,Dikome Balue,Dikome Balue,dikome-balue-cm010006002,CM010006002,4.807,9.169
CM010006003,Ekondo Titi,Ekondo Titi,ekondo-titi-cm010006003,CM010006003,4.693,8.933
CM010006004,Idabato,Idabato,idabato-cm010006004,CM010006004,4.537,8.537
CM010006005,Isangele,Isangele,isangele-cm010006005,CM010006005,4.795,8.659
CM010006006,Kombo Abedimo,Kombo Abedimo,kombo-abedimo-cm010006006,CM010006006,4.599,8.586
CM010006007,Kombo Itindi,Kombo Itindi,kombo-itindi-cm010006007,CM010006007,4.653,8.75
CM010006008,Mundemba,Mundemba,mundemba-cm010006008,CM010006008,5.052,8.845
CM010006009,Toko,Toko,toko-cm010006009,CM010006009,5.181,9.109
